"Dataset","Algorithm","Fold","OutSampleError"
"H3N2","MDS",1,0.816093904769226
"HIV","MDS",1,2.56375109941168
"H3N2","Topolow",1,0.759558047402947
"HIV","Topolow",1,1.47380719983083
"H3N2","MDS",2,0.839718478154368
"HIV","MDS",2,2.31833313348836
"H3N2","Topolow",2,0.812032668915935
"HIV","Topolow",2,1.30603564128511
"H3N2","MDS",3,0.782182479492474
"HIV","MDS",3,2.31987934593539
"H3N2","Topolow",3,0.710683824865214
"HIV","Topolow",3,1.41341346699549
"H3N2","MDS",4,0.80776943337161
"HIV","MDS",4,2.30551639039817
"H3N2","Topolow",4,0.770784421351176
"HIV","Topolow",4,1.24753555207499
"H3N2","MDS",5,0.900994704808546
"HIV","MDS",5,2.23425508189182
"H3N2","Topolow",5,0.868548467307621
"HIV","Topolow",5,1.36252906475172
"H3N2","MDS",6,0.889585815926659
"HIV","MDS",6,2.36767331084968
"H3N2","Topolow",6,0.917786038981891
"HIV","Topolow",6,1.48346727872135
"H3N2","MDS",7,0.884367367262787
"HIV","MDS",7,2.2727842933601
"H3N2","Topolow",7,0.851428190864904
"HIV","Topolow",7,1.38009092726683
"H3N2","MDS",8,0.937965777841612
"HIV","MDS",8,2.14395504271699
"H3N2","Topolow",8,0.932368218755076
"HIV","Topolow",8,1.29415998871475
"H3N2","MDS",9,0.777331448451727
"HIV","MDS",9,2.20057052952515
"H3N2","Topolow",9,0.757411400529753
"HIV","Topolow",9,1.15521934852373
"H3N2","MDS",10,0.964995669043591
"HIV","MDS",10,2.49048218282018
"H3N2","Topolow",10,0.87779130231054
"HIV","Topolow",10,1.40130581809964
"H3N2","MDS",11,0.74302500684729
"HIV","MDS",11,2.51498441576687
"H3N2","Topolow",11,0.84348462172046
"HIV","Topolow",11,1.41891740389997
"H3N2","MDS",12,0.899433465323639
"HIV","MDS",12,2.31636022899935
"H3N2","Topolow",12,0.839690421053575
"HIV","Topolow",12,1.33645324025799
"H3N2","MDS",13,0.887545320659358
"HIV","MDS",13,2.09431217937303
"H3N2","Topolow",13,0.854426946419385
"HIV","Topolow",13,1.20612959306858
"H3N2","MDS",14,1.01302013478253
"HIV","MDS",14,2.34772019796032
"H3N2","Topolow",14,0.964016494931093
"HIV","Topolow",14,1.36864022357018
"H3N2","MDS",15,0.833827817485883
"HIV","MDS",15,2.30220054647443
"H3N2","Topolow",15,0.782173329111319
"HIV","Topolow",15,1.43289423957965
"H3N2","MDS",16,0.820158438704156
"HIV","MDS",16,2.3827651861887
"H3N2","Topolow",16,0.800031994632431
"HIV","Topolow",16,1.34084360396115
"H3N2","MDS",17,0.912509815834429
"HIV","MDS",17,2.13153434504909
"H3N2","Topolow",17,0.839766527045249
"HIV","Topolow",17,1.28027302898136
"H3N2","MDS",18,0.810540243112302
"HIV","MDS",18,1.95677373612032
"H3N2","Topolow",18,0.816085644458744
"HIV","Topolow",18,1.23810716238147
"H3N2","MDS",19,0.827638127961668
"HIV","MDS",19,2.17040500142346
"H3N2","Topolow",19,0.805750678847899
"HIV","Topolow",19,1.26410771348806
"H3N2","MDS",20,0.790361888756545
"HIV","MDS",20,1.96784031082032
"H3N2","Topolow",20,0.760379602570634
"HIV","Topolow",20,1.16608066855491
