"","Dimension","MAE","Completeness","Dataset","Algorithm"
"1",2,1.33112528069667,100,"DENV","MDS"
"2",3,1.26145802823325,100,"DENV","MDS"
"3",4,1.2453530762708,99.7368421052632,"DENV","MDS"
"4",5,1.22426038067641,98.6509413389448,"DENV","MDS"
"5",6,1.22115573482837,97.840561760315,"DENV","MDS"
"6",7,1.21043105416268,95.4630127974406,"DENV","MDS"
"7",8,1.2211120623191,91.3808496781792,"DENV","MDS"
"8",9,1.21911612683515,87.87865731957,"DENV","MDS"
"9",10,1.23547290672879,80.7528902865268,"DENV","MDS"
"10",11,1.23466857781715,75.0317770296015,"DENV","MDS"
"11",12,1.24413811532716,69.2728492480701,"DENV","MDS"
"12",13,1.2722542342717,65.9648930226467,"DENV","MDS"
"13",14,1.28828747304202,60.2677749687515,"DENV","MDS"
"14",15,1.32193592231946,51.8544635114211,"DENV","MDS"
