"log_N","log_k0","log_cooling_rate","log_c_repulsion","Holdout_MAE","NLL","opt_subsample","original_n_points"
2.19722457733622,2.94040949211935,-4.67424634199217,-4.43981964544657,1.40439438391735,1780.6919319234,120,285
1.09861228866811,2.00027080593436,-3.87855264190539,-5.46632200202298,1.38986987793674,1696.75778336303,120,285
1.79175946922805,2.5236118352662,-3.08503286383684,-3.92575852906173,1.02133343855547,1626.82917820794,120,285
1.09861228866811,2.50451140618016,-3.26739076176603,-5.95405848388887,1.11375175272661,1701.83297410367,120,285
1.94591014905531,1.25215037069781,-3.95489709797751,-4.3886551841651,1.18920156727998,1595.79706058769,120,285
1.27920608954506,1.39751906217051,-3.7972244225405,-5.21577317743516,1.05960468613071,1630.22110888847,120,285
2.1542260533179,2.67940661424792,-3.64483408901876,-5.24752738416435,1.08187333558506,1667.30265299895,120,285
1.49419870963667,2.89415581755986,-4.16420522571531,-4.86647690341404,1.10854306341934,1616.57440042561,120,285
2.0467297432721,1.52636858415767,-4.22329535504007,-4.27902407892399,1.19803160326142,1708.9302786499,120,285
2.11982723410324,2.48448041431862,-3.99004484454761,-5.28722014257584,0.996758854096249,1659.48255689192,120,285
1.28135601574598,2.11433851345583,-3.85009453825213,-5.88261151874819,0.974096106422444,1628.5631291826,120,285
1.81453771357316,1.89639798063362,-4.09889508277742,-4.40604090584076,1.0730501939702,1462.06785801257,120,285
1.31360490875972,2.35563089233146,-3.99315485135417,-5.11961985057378,1.17600983192465,1523.18027458537,120,285
1.6726425843127,2.12766635343109,-4.12377513722995,-5.46583755542754,1.2654207302607,1687.48286046731,120,285
1.36090328517987,2.3292002211546,-3.53287384398237,-4.95777024776047,1.29108051499859,1644.64089839094,120,285
1.82958719697957,2.12105868563688,-3.68837418431068,-4.79899921411451,1.1306140281556,1846.77849035952,120,285
1.15451036989193,2.21026220085876,-4.2388453890729,-4.48145714682259,1.17255526680213,1904.19784767902,120,285
