"","Validation_Cor","Algorithm","Dataset","Fold"
"1",0.558398204573858,"Topolow","HIV",1
"2",0.544163542154945,"MDS","HIV",1
"3",0.455259955495682,"Topolow","HIV",2
"4",0.440621466949722,"MDS","HIV",2
"5",0.476137199979787,"Topolow","HIV",3
"6",0.453812631999917,"MDS","HIV",3
"7",0.442315157585279,"Topolow","HIV",4
"8",0.357294567888387,"MDS","HIV",4
"9",0.458566673144228,"Topolow","HIV",5
"10",0.502092746111301,"MDS","HIV",5
"11",0.438497601597026,"Topolow","HIV",6
"12",0.399928011742441,"MDS","HIV",6
"13",0.397173372842636,"Topolow","HIV",7
"14",0.329718363427318,"MDS","HIV",7
"15",0.373654616554321,"Topolow","HIV",8
"16",0.283806294740412,"MDS","HIV",8
"17",0.232313597941477,"Topolow","HIV",9
"18",0.208456399344225,"MDS","HIV",9
"19",0.529722202975226,"Topolow","HIV",10
"20",0.314378458959315,"MDS","HIV",10
"21",0.508858449413604,"Topolow","HIV",11
"22",0.386515560505653,"MDS","HIV",11
"23",0.374123965197099,"Topolow","HIV",12
"24",0.356148186700579,"MDS","HIV",12
"25",0.477533265095597,"Topolow","HIV",13
"26",0.321663274362037,"MDS","HIV",13
"27",0.306022876365603,"Topolow","HIV",14
"28",0.266494041718902,"MDS","HIV",14
"29",0.356813818973502,"Topolow","HIV",15
"30",0.351199974576441,"MDS","HIV",15
"31",0.45160716462017,"Topolow","HIV",16
"32",0.428480998549255,"MDS","HIV",16
"33",0.511662037474582,"Topolow","HIV",17
"34",0.377991623447725,"MDS","HIV",17
"35",0.554872024335327,"Topolow","HIV",18
"36",0.584106952944277,"MDS","HIV",18
"37",0.437762849979195,"Topolow","HIV",19
"38",0.24426767501491,"MDS","HIV",19
"39",0.258688026914228,"Topolow","HIV",20
"40",0.268276084596544,"MDS","HIV",20
"41",0.894694942868801,"Topolow","H3N2",1
"42",0.871450731692869,"MDS","H3N2",1
"43",0.908867937337119,"Topolow","H3N2",2
"44",0.864508174387181,"MDS","H3N2",2
"45",0.905102923012858,"Topolow","H3N2",3
"46",0.856955816195173,"MDS","H3N2",3
"47",0.835424012753978,"Topolow","H3N2",4
"48",0.807501242042128,"MDS","H3N2",4
"49",0.898894978866751,"Topolow","H3N2",5
"50",0.839867290655238,"MDS","H3N2",5
"51",0.899756220151118,"Topolow","H3N2",6
"52",0.814363439838454,"MDS","H3N2",6
"53",0.888115271070609,"Topolow","H3N2",7
"54",0.838288870499032,"MDS","H3N2",7
"55",0.900462070329318,"Topolow","H3N2",8
"56",0.870653263952075,"MDS","H3N2",8
"57",0.853427399905842,"Topolow","H3N2",9
"58",0.825526573142501,"MDS","H3N2",9
"59",0.902871768349219,"Topolow","H3N2",10
"60",0.858656124908506,"MDS","H3N2",10
"61",0.859131377054387,"Topolow","H3N2",11
"62",0.856088573308363,"MDS","H3N2",11
"63",0.894605708087705,"Topolow","H3N2",12
"64",0.851000592266139,"MDS","H3N2",12
"65",0.892559740930202,"Topolow","H3N2",13
"66",0.868199156583445,"MDS","H3N2",13
"67",0.8748306858709,"Topolow","H3N2",14
"68",0.789249271558544,"MDS","H3N2",14
"69",0.899375400028877,"Topolow","H3N2",15
"70",0.864663476723591,"MDS","H3N2",15
"71",0.911248635094702,"Topolow","H3N2",16
"72",0.863861828607746,"MDS","H3N2",16
"73",0.869959103449022,"Topolow","H3N2",17
"74",0.823671709823108,"MDS","H3N2",17
"75",0.933018220052993,"Topolow","H3N2",18
"76",0.906065049406956,"MDS","H3N2",18
"77",0.890744287734582,"Topolow","H3N2",19
"78",0.870358542404649,"MDS","H3N2",19
"79",0.916485395362986,"Topolow","H3N2",20
"80",0.886038431303814,"MDS","H3N2",20
