"","Dimension","MAE","Coverage","Dataset","Algorithm"
"1",2,2.27940555378896,99.8332776004066,"HIV","MDS"
"2",3,2.28691458239356,97.1343442796522,"HIV","MDS"
"3",4,2.2896415259475,93.3122910912797,"HIV","MDS"
"4",5,2.22746142084313,83.5554314118169,"HIV","MDS"
"5",6,2.16296790821922,72.8085779774014,"HIV","MDS"
"6",7,2.05932479390755,58.9989125160698,"HIV","MDS"
"7",8,1.97258060662415,48.133256745428,"HIV","MDS"
"8",9,1.87847982165914,39.6231037808696,"HIV","MDS"
"9",10,1.82289567242292,34.146652533792,"HIV","MDS"
"10",2,0.955459005333596,99.9193548387097,"H3N2","MDS"
"11",3,0.896829593641629,99.5906588141555,"H3N2","MDS"
"12",4,0.851196558334062,97.7661367595284,"H3N2","MDS"
"13",5,0.844507855778338,95.7521505572043,"H3N2","MDS"
"14",6,0.838857840272472,92.3924885317222,"H3N2","MDS"
"15",7,0.829811439837775,88.1257577971808,"H3N2","MDS"
"16",8,0.820739175533039,82.5459068409617,"H3N2","MDS"
"17",9,0.811237191144058,77.26336458965,"H3N2","MDS"
"18",10,0.811674033236416,71.2306211884188,"H3N2","MDS"
